vague species identification 	1998
Placed as Lutjanidae, might be Serranidae	1
Placed as Saccopharyngidae, might be Eurypharyngidae	1
Placed as Eleotridae, might be Gobiidae	1
Placed as Sparidae, might be Callionymidae	1
Placed as Synodontidae, might be Labridae	1
Placed as Soleidae, might be Scombridae	1
Placed as Lutjanidae, might be Carangidae	1
Placed as Carangidae, might be Lutjanidae	1
Placed as Pomacanthidae, might be Holocentridae	1
Placed as Centropomidae, might be Sciaenidae	2
Placed as Haemulidae, might be Sciaenidae	1
Placed as Carangidae, might be Labridae	1
Placed as Cottidae, might be Zoarcidae	1
Placed as Balistidae, might be Scombridae	1
Placed as Carangidae, might be Holocentridae	1
Placed as Triglidae, might be Ophidiidae	1
Placed as Scyliorhinidae, might be Parascylliidae	1
Placed as Sciaenidae, might be Pomatomidae	1
Placed as Callionymidae, might be Neosebastidae	1
Placed as Rhinobatidae, might be Enoplosidae	1
Placed as Menidae, might be Hemiscylliidae	2
Placed as Holocentridae, might be Dasyatidae	1
Placed as Dasyatidae, might be Holocentridae	1
Placed as Sciaenidae, might be Sebastidae	3
Placed as Chaetodontidae, might be Haemulidae	1
Placed as Serrivomeridae, might be Derichthyidae	1
Placed as Chlopsidae, might be Nemichthyidae	1
